Node_ID,In_Hyperedges
52,"0,94"
153,"0,67,105"
238,0
311,"0,77,115"
183,1
265,1
371,"1,85,134,167"
390,1
417,"1,115,138"
430,"1,52,65,86"
313,2
351,2
375,"2,107,166"
480,2
96,"3,93"
152,"3,47,49,129"
222,"3,48,138,178"
490,"3,127,136"
48,"4,180"
156,"4,31,41,55,127"
164,"4,130"
320,"4,141"
42,"5,70"
204,5
298,"5,132"
471,"5,135"
110,"6,63"
212,"6,184"
377,"6,90"
387,"6,141,179,198"
43,"7,105,157"
75,"7,15,33,58,170"
291,"7,198"
416,"7,28,60,170"
192,8
199,"8,184"
436,"8,14,74"
465,8
475,8
482,"8,55,59"
315,"9,16,27,150"
336,9
339,"9,157,164"
349,"9,25"
350,"9,118"
62,"10,33"
114,"10,12,20"
133,10
246,"10,15,121,174"
18,"11,18,79,173"
84,"11,131"
172,"11,74,147"
294,11
481,11
55,12
239,12
359,"12,188"
6,"13,80"
49,"13,183"
166,13
293,"13,81,150"
492,"13,170"
181,"14,42"
198,14
253,"14,31"
281,"14,20,169"
38,"15,72,165"
160,"15,43"
470,15
27,"16,91,132"
115,"16,26,52,92,186"
260,"16,30,139,181"
21,"17,56,69,117,157"
22,17
383,"17,172"
401,"17,54"
280,"18,45,192,195"
344,"18,103"
425,"18,39"
76,19
101,19
163,"19,178"
255,19
5,20
249,"20,101"
10,"21,25,68,191"
39,"21,27"
376,21
386,"21,81,123"
468,21
104,22
197,"22,139,168"
327,"22,100,185"
379,22
397,22
77,"23,180"
85,"23,193"
233,23
245,23
318,"23,27,107,135"
137,24
196,"24,168"
433,"24,36"
495,"24,113"
7,25
237,"25,150"
477,"25,106,149"
140,"26,63,87,123"
312,26
479,26
81,27
159,"27,173"
89,"28,35,117"
261,"28,62,63,64,199"
418,"28,141,187"
74,"29,80"
331,"29,176"
363,29
440,"29,80,107,196"
120,30
384,30
467,"30,161,192"
189,31
324,"31,189"
330,"31,122"
45,"32,113,140"
67,"32,72,87,189,197"
225,"32,34,95"
442,32
63,33
186,"33,128,169"
378,"33,54,86"
13,"34,69,182,194"
31,"34,99"
143,34
59,"35,52,54,96,131,143"
236,"35,120"
361,"35,130"
447,35
215,"36,94"
370,"36,129,139"
443,36
473,36
14,37
28,"37,59"
232,"37,74,170"
348,37
464,"37,70,102"
94,38
121,"38,64,65,84,131"
287,38
306,"38,91"
41,39
60,"39,53,127"
111,"39,142,165"
241,39
445,39
44,"40,191,198"
157,"40,45,96,116"
176,40
310,"40,43,65,189"
316,40
97,"41,155"
171,41
374,"41,66,97"
486,41
68,"42,98,99,145,151"
92,"42,121"
122,42
180,"42,113"
158,"43,125,159,194"
279,"43,77,185"
117,"44,68"
214,"44,48,120,165,191"
302,"44,146"
343,44
494,"44,163"
129,"45,118"
135,"45,119"
207,45
95,"46,111,147,151,196"
141,"46,104"
226,"46,175"
360,"46,84,148,194"
25,"47,48,50"
251,"47,62,153,166"
258,47
393,47
66,"48,112,142"
283,48
72,49
300,"49,167,173"
304,49
70,50
404,"50,199"
423,"50,73,154"
364,51
407,"51,186"
408,"51,94"
446,51
396,52
398,52
54,"53,84,178"
102,"53,177"
150,"53,114"
403,"54,64"
406,54
16,"55,80,95,193"
400,55
87,"56,191"
213,"56,71"
455,"56,71"
9,"57,78,110,153"
209,"57,70,90"
264,57
357,"57,163"
61,"58,93"
73,"58,60,154"
106,58
493,59
499,"59,171"
65,"60,120"
456,"60,116"
86,61
138,61
187,"61,97,123"
208,61
210,"61,72,108,124,138"
277,"61,129"
58,62
414,"62,120"
434,"62,101,126,177"
124,"63,105"
2,64
126,"64,176"
174,"65,124"
229,65
35,"66,101"
144,66
270,66
309,"66,88,134,136,159"
380,66
107,67
182,"67,166"
295,"67,68"
346,67
463,"68,195"
20,"69,116"
205,69
388,"69,160"
80,70
301,"70,87,190"
64,"71,160"
185,"71,88,89,106"
342,"72,93"
273,73
340,"73,106"
435,"73,192"
478,74
0,75
100,75
217,"75,135"
429,75
438,"75,155"
53,76
147,"76,152,174"
247,76
297,"76,113"
12,77
57,77
231,"77,137"
184,78
211,"78,111"
262,"78,112,196"
32,"79,149,152,197"
47,79
119,"79,165"
240,79
275,80
19,"81,137"
105,81
167,"82,171"
203,82
450,82
453,82
146,"83,144"
179,"83,89,90"
194,83
334,"83,150"
402,"83,168"
132,84
272,84
333,84
33,"85,115,121"
130,85
230,85
458,"85,151"
259,86
307,"86,127,141,167"
415,87
288,88
391,"88,126,174"
439,"88,142"
328,89
448,"89,119"
394,"90,148"
125,"91,145"
322,91
170,92
234,"92,109"
326,"92,95,143"
82,93
201,93
337,"93,132,159,161,199"
483,93
460,94
148,"95,144,151"
369,"96,155"
424,96
345,97
474,"97,128,148"
113,"98,114"
242,98
487,"98,196"
40,99
83,99
168,"99,100"
169,"100,105,140"
284,"100,160"
462,"101,125,186"
98,"102,173,184"
243,"102,119,129"
367,"102,125"
1,"103,122"
116,"103,104,199"
206,103
165,"104,108"
254,"104,179"
411,105
285,106
485,"107,111"
34,108
91,"108,118"
392,108
88,"109,147"
290,"109,133,146,154,156"
347,109
409,109
78,110
128,"110,126"
257,110
286,110
469,110
109,111
221,"112,140,189"
362,"112,172"
459,113
51,"114,176"
428,"114,136,183"
188,115
426,"116,171"
256,"117,146,187"
466,117
108,"118,126"
139,118
353,119
421,"119,168"
476,120
202,"121,193"
220,122
366,"122,174,190"
372,123
437,123
127,124
341,"124,198"
432,124
4,125
419,"125,137"
352,126
46,"128,169,186"
79,128
472,129
154,130
175,"130,179"
37,131
457,"131,192"
420,132
228,133
354,"133,135"
358,133
161,134
190,134
266,134
56,135
145,135
422,"136,144"
216,137
296,137
441,138
11,139
149,"139,163"
484,139
123,140
308,"140,188"
271,141
427,141
289,142
178,143
267,143
382,143
431,"143,162"
93,144
274,145
412,145
218,146
223,147
151,148
193,"148,161"
69,149
452,149
461,149
248,"152,164"
269,152
449,152
235,153
497,153
17,154
131,154
263,"155,162,180"
142,156
373,156
395,156
23,157
244,157
134,"158,183"
252,"158,188"
355,158
498,158
29,159
488,160
325,161
24,162
227,162
276,"162,164"
299,162
321,163
444,163
162,164
368,164
15,165
26,166
155,"166,172"
112,"167,175"
118,167
319,169
389,169
278,170
329,171
381,171
491,171
30,172
136,172
3,173
90,175
489,175
103,176
410,176
200,177
314,177
454,177
250,"178,184"
338,179
303,180
451,180
177,181
224,181
268,181
36,182
292,182
385,182
496,"182,187"
50,183
335,183
71,185
405,185
195,187
399,188
305,189
317,189
282,190
413,190
8,193
191,"194,197"
219,195
332,195
356,195
365,196
99,197
173,198
323,198
